Driver,FP1_avg,FP2_avg,FP3_avg
ALB,103.41204545454546,100.39892857142857,95.9545
ANT,106.46552631578948,95.66507692307692,98.01433333333333
BEA,106.92755,102.07275,110.79784615384617
BOR,100.44316666666667,99.54918181818181,107.73857142857142
BOT,105.19309523809522,101.50036,109.16255555555556
COL,100.03823809523809,101.41831818181818,107.787625
GAS,105.61066666666666,99.0503076923077,101.85927272727272
HAD,104.63511111111112,99.02821739130434,95.72266666666667
HAM,101.82615384615384,99.92,104.53476470588235
HUL,105.40853333333332,93.9624827586207,100.98241176470589
LAW,101.00075,97.6478,105.54659999999998
LEC,101.12451724137931,99.48636,103.51350000000001
LIN,99.03927777777778,101.0702962962963,104.71875
NOR,90.236,92.23604166666667,100.9845
OCO,98.7343181818182,102.046375,101.44135714285714
PER,107.91472727272726,118.806,94.30125
PIA,96.85773333333333,96.97118181818182,97.73315384615384
RUS,103.42619047619047,101.14083333333333,96.218625
SAI,95.98112,102.36311111111111,
VER,97.31038095238095,93.8623,93.96245454545455
